avg_size,edge_collisions,entropy_loss,episodes,policy_entropy,policy_loss,reward_rate,self_collisions,steps,t,value_loss
12.197265625,0.0,-0.07409615069627762,4337000,0.06883513927459717,-0.1638914793729782,25.5625,0.0,114022400,7981.353282690048,0.3576362729072571
12.0859375,0.00390625,-0.07649403065443039,4337488,0.07175229489803314,-0.045453399419784546,18.140625,0.00390625,114073600,7985.207205057144,0.3683761954307556
12.787109375,0.001953125,-0.07776959985494614,4337959,0.06815504282712936,-0.15818987786769867,24.1953125,0.00390625,114124800,7988.576038837433,0.3566345274448395
12.564453125,0.00390625,-0.08020062744617462,4338435,0.08697318285703659,-0.24053291976451874,17.5546875,0.005859375,114176000,7992.418850898743,0.37307050824165344
12.88671875,0.00390625,-0.07906877994537354,4338888,0.08002255111932755,-0.2195473164319992,24.5859375,0.001953125,114227200,7995.786737442017,0.34784913063049316
12.763671875,0.0,-0.07891767472028732,4339354,0.07554753124713898,-0.006405920721590519,18.53125,0.0,114278400,7999.636006355286,0.36696484684944153
13.453125,0.00390625,-0.07659303396940231,4339761,0.0712033212184906,-0.06302791088819504,24.0,0.00390625,114329600,8002.994170188904,0.35568565130233765
12.740234375,0.0078125,-0.07529331743717194,4340240,0.08776623755693436,-0.2451884001493454,20.2890625,0.005859375,114380800,8006.847714662552,0.3578127324581146
12.111328125,0.0078125,-0.0728999599814415,4340704,0.07801061123609543,-0.18334656953811646,20.09375,0.00390625,114432000,8010.217278718948,0.3552020192146301
12.44140625,0.0078125,-0.0806281641125679,4341151,0.09280716627836227,-0.03815385326743126,20.6796875,0.005859375,114483200,8014.069846630096,0.3553851842880249
13.25390625,0.001953125,-0.0790058970451355,4341557,0.09557130187749863,-0.10376942157745361,21.0703125,0.0,114534400,8017.455712795258,0.3514222502708435
12.037109375,0.005859375,-0.08188376575708389,4342045,0.08496211469173431,-0.12434858083724976,20.484375,0.001953125,114585600,8021.271537303925,0.35183829069137573
12.791015625,0.001953125,-0.07641977816820145,4342496,0.07093639671802521,-0.10903582721948624,23.8046875,0.00390625,114636800,8024.598902225494,0.3712608814239502
12.3671875,0.00390625,-0.08010530471801758,4342938,0.08816786110401154,-0.1670045703649521,27.90625,0.00390625,114688000,8028.429587841034,0.35364609956741333
12.3125,0.005859375,-0.07712441682815552,4343393,0.06654790788888931,-0.14234882593154907,22.828125,0.005859375,114739200,8031.765699863434,0.35205525159835815
12.873046875,0.001953125,-0.0775107815861702,4343833,0.06514779478311539,-0.19734586775302887,23.8046875,0.00390625,114790400,8035.582589387894,0.3565603196620941
12.232421875,0.005859375,-0.07602733373641968,4344299,0.07738795876502991,-0.21874837577342987,19.8984375,0.00390625,114841600,8038.925919294357,0.3499281406402588
12.3203125,0.005859375,-0.08102022856473923,4344735,0.07435640692710876,-0.16764603555202484,18.921875,0.009765625,114892800,8042.757702827454,0.34802189469337463
11.912109375,0.009765625,-0.07887370884418488,4345207,0.08751021325588226,-0.23409955203533173,20.09375,0.005859375,114944000,8046.106180667877,0.35832419991493225
11.986328125,0.005859375,-0.07437882572412491,4345663,0.058775611221790314,-0.15504224598407745,20.2890625,0.0078125,114995200,8049.974515199661,0.3572651743888855
12.17578125,0.001953125,-0.07343429327011108,4346130,0.06968388706445694,-0.14068405330181122,24.0,0.009765625,115046400,8053.356519699097,0.3639976382255554
11.67578125,0.0078125,-0.07149598002433777,4346604,0.06878592073917389,-0.15617701411247253,24.1953125,0.001953125,115097600,8057.22860622406,0.3577217757701874
12.36328125,0.005859375,-0.07348319888114929,4347045,0.08331149816513062,-0.11792135238647461,19.703125,0.005859375,115148800,8060.605674982071,0.3577282428741455
12.990234375,0.0078125,-0.08097857981920242,4347482,0.08205458521842957,-0.1674818992614746,19.5078125,0.001953125,115200000,8064.449908256531,0.35571780800819397
12.716796875,0.00390625,-0.08147531747817993,4347912,0.0683327242732048,-0.12737995386123657,27.515625,0.00390625,115251200,8067.820507049561,0.3569139838218689
12.447265625,0.00390625,-0.0786343589425087,4348353,0.0783606544137001,-0.21974240243434906,20.2890625,0.001953125,115302400,8071.659311771393,0.3552893102169037
13.23046875,0.009765625,-0.08091199398040771,4348766,0.08920544385910034,-0.1387324035167694,19.703125,0.001953125,115353600,8075.023062467575,0.3578796088695526
12.943359375,0.0,-0.08615534007549286,4349196,0.08169364929199219,-0.12784473598003387,23.0234375,0.001953125,115404800,8078.874437332153,0.35728397965431213
12.1796875,0.0078125,-0.08313972502946854,4349648,0.08045914769172668,-0.2947065532207489,22.6328125,0.005859375,115456000,8082.2408328056335,0.3539692461490631
12.12109375,0.001953125,-0.08691181987524033,4350097,0.09146709740161896,-0.06797317415475845,19.1171875,0.00390625,115507200,8086.094338655472,0.3542560636997223
12.22265625,0.0,-0.0829383060336113,4350551,0.07089877873659134,-0.12869149446487427,23.8046875,0.001953125,115558400,8089.443921089172,0.3595969080924988
12.384765625,0.001953125,-0.08733395487070084,4351021,0.0857723206281662,-0.20983253419399261,15.2109375,0.00390625,115609600,8093.296607971191,0.3664209544658661
11.98828125,0.00390625,-0.08422837406396866,4351497,0.08765672147274017,-0.2247215062379837,18.53125,0.00390625,115660800,8096.653183460236,0.3668675720691681
13.029296875,0.009765625,-0.08200764656066895,4351907,0.08180075883865356,-0.044352199882268906,18.921875,0.005859375,115712000,8100.478401899338,0.35982149839401245
12.453125,0.001953125,-0.08072863519191742,4352331,0.061592429876327515,-0.14829562604427338,27.515625,0.001953125,115763200,8103.822447538376,0.3526952862739563
12.041015625,0.005859375,-0.08098506182432175,4352768,0.08797518908977509,-0.1487131118774414,24.9765625,0.0,115814400,8107.65927696228,0.3513958156108856
11.708984375,0.00390625,-0.08142322301864624,4353243,0.08360540121793747,-0.11034269630908966,22.046875,0.00390625,115865600,8110.999604701996,0.3529319167137146
12.126953125,0.005859375,-0.08406373113393784,4353683,0.08450658619403839,-0.036044731736183167,26.34375,0.001953125,115916800,8114.830773591995,0.3641773462295532
12.349609375,0.001953125,-0.07974085956811905,4354093,0.08203050494194031,-0.18104028701782227,24.390625,0.005859375,115968000,8118.191596984863,0.3557377755641937
13.029296875,0.001953125,-0.07829234004020691,4354479,0.0812942385673523,-0.22563891112804413,22.4375,0.001953125,116019200,8122.042424201965,0.3680586814880371
13.001953125,0.0078125,-0.0765189379453659,4354889,0.06622542440891266,-0.07445716112852097,22.828125,0.00390625,116070400,8125.4106550216675,0.35468173027038574
12.158203125,0.00390625,-0.07571794837713242,4355342,0.0659002959728241,-0.10728533565998077,20.484375,0.00390625,116121600,8129.277895689011,0.35849401354789734
12.890625,0.0,-0.0752623975276947,4355738,0.09443049132823944,-0.12806586921215057,17.75,0.0078125,116172800,8132.631525039673,0.3541731834411621
12.607421875,0.001953125,-0.07716730982065201,4356151,0.07973580062389374,-0.09048143029212952,18.3359375,0.0078125,116224000,8136.467751502991,0.3584842085838318
13.00390625,0.00390625,-0.07966970652341843,4356546,0.07954329252243042,-0.13710930943489075,17.9453125,0.005859375,116275200,8139.810751676559,0.35160088539123535
13.138671875,0.005859375,-0.07974472641944885,4356925,0.08283945173025131,-0.091061532497406,22.4375,0.001953125,116326400,8143.645517349243,0.35504454374313354
12.666015625,0.001953125,-0.08046356588602066,4357337,0.08351872116327286,-0.20161548256874084,19.8984375,0.00390625,116377600,8146.987444400787,0.35317420959472656
12.626953125,0.001953125,-0.07792185246944427,4357742,0.087029829621315,-0.1605248898267746,24.1953125,0.0,116428800,8150.8087775707245,0.3516521155834198
12.962890625,0.001953125,-0.07791165262460709,4358148,0.0849822387099266,-0.12911127507686615,19.3125,0.001953125,116480000,8154.157646179199,0.3525874614715576
13.228515625,0.005859375,-0.08015210926532745,4358521,0.0577237606048584,-0.11598866432905197,19.1171875,0.00390625,116531200,8157.9929184913635,0.3532981872558594
13.064453125,0.0,-0.08184808492660522,4358905,0.0895618423819542,-0.15150971710681915,20.875,0.0078125,116582400,8161.360043525696,0.35776960849761963
13.095703125,0.001953125,-0.0864141508936882,4359286,0.08781880140304565,-0.14873091876506805,19.703125,0.001953125,116633600,8165.204470872879,0.3431943356990814
13.095703125,0.001953125,-0.08005911111831665,4359661,0.08096892386674881,-0.12246622890233994,18.140625,0.005859375,116684800,8168.551247119904,0.3554759919643402
